ts,coin,state,pos_sz,pos_notional,withdrawable,equity,gross_spread_bps,net_spread_bps,skew_bps,position_ratio,volatility,mid_px,bid_sz,ask_sz,placed_buy_sz,placed_sell_sz
2026-06-20T09:30:06.568235008+00:00,FARTCOIN,COOLDOWN,3658.200000,453.013197,-331.099843,131.197865,4.0376,0.5376,3.5000,1.0000,0.000000,0.123835,654347.800000,491218.200000,0.000000,0.000000
2026-06-20T09:30:09.241682330+00:00,FARTCOIN,COOLDOWN,3658.200000,453.013197,-331.099843,131.058218,4.0376,0.5376,3.5000,1.0000,0.000000,0.123835,654347.800000,491218.200000,0.000000,0.000000
2026-06-20T09:30:13.419167293+00:00,FARTCOIN,COOLDOWN,3658.200000,452.976615,-331.099843,131.051537,2.4228,-1.0772,3.5000,1.0000,0.000000,0.123825,659474.700000,481521.400000,0.000000,0.000000
2026-06-20T09:30:17.905144691+00:00,FARTCOIN,COOLDOWN,3658.200000,452.976615,-331.099843,131.051537,2.4228,-1.0772,3.5000,1.0000,0.000000,0.123825,655034.400000,386029.400000,0.000000,0.000000
2026-06-20T09:30:22.666337213+00:00,FARTCOIN,COOLDOWN,3658.200000,452.976615,-331.099843,131.014955,2.4228,-1.0772,3.5000,1.0000,0.000000,0.123825,675624.900000,405468.200000,0.000000,0.000000
2026-06-20T09:30:26.825477806+00:00,FARTCOIN,COOLDOWN,3658.200000,452.976615,-331.099843,131.014955,2.4228,-1.0772,3.5000,1.0000,0.000000,0.123825,675624.900000,405468.200000,0.000000,0.000000
2026-06-20T09:30:29.730168245+00:00,FARTCOIN,COOLDOWN,3658.200000,452.958324,-331.099843,131.014955,3.2305,-0.2695,3.5000,1.0000,0.000000,0.123820,688259.000000,375344.400000,0.000000,0.000000
2026-06-20T09:30:34.787604295+00:00,FARTCOIN,COOLDOWN,3658.200000,452.903451,-331.099843,130.978373,2.4232,-1.0768,3.5000,1.0000,0.000000,0.123805,601549.500000,342813.400000,0.000000,0.000000
2026-06-20T09:30:38.685230200+00:00,FARTCOIN,COOLDOWN,3658.200000,452.903451,-331.099843,130.978373,2.4232,-1.0768,3.5000,1.0000,0.000000,0.123805,601549.500000,342813.400000,0.000000,0.000000
2026-06-20T09:30:41.825995638+00:00,FARTCOIN,COOLDOWN,3658.200000,452.903451,-331.099843,130.978373,2.4232,-1.0768,3.5000,1.0000,0.000000,0.123805,624236.900000,322991.800000,0.000000,0.000000
2026-06-20T09:31:42.038989911+00:00,FARTCOIN,PASSIVE_UNWIND,3658.200000,453.360726,-331.099843,131.424038,4.8414,1.3414,3.5000,1.0000,0.000000,0.123930,737763.000000,385065.900000,0.000000,0.000000
2026-06-20T09:31:58.010793159+00:00,FARTCOIN,EMERGENCY_IOC,3658.200000,453.342435,-331.099843,131.277710,4.8422,1.3422,3.5000,1.0000,0.000000,0.123925,754446.600000,387358.500000,0.000000,0.000000
2026-06-20T09:32:02.202407490+00:00,FARTCOIN,COOLDOWN,3658.200000,453.049779,-331.099843,131.241128,4.0373,0.5373,3.5000,1.0000,0.000000,0.123845,591749.800000,428028.500000,0.000000,0.000000
2026-06-20T09:32:07.258366283+00:00,FARTCOIN,COOLDOWN,3658.200000,453.049779,-331.099843,131.241128,4.0373,0.5373,3.5000,1.0000,0.000000,0.123845,534754.600000,405393.400000,0.000000,0.000000
